FID,geom,linea,color
Recorridos_Colectivos_Tandil.1,"MULTILINESTRING ((5872608.323603561 5574157.924094901, 5872816.605391524 5574363.114442384, 5872919.163603565 5574464.826794905, 5872722.862050726 5574664.1422105655, 5872925.908705911 5574867.4395792205, 5872825.951270764 5574967.1052093385, 5872724.850503563 5575072.659894901, 5872522.149603561 5575278.874394901, 5872317.760765356 5575483.885997871, 5872113.715703563 5575683.989194903, 5871911.787977586 5575887.857750027, 5871879.776700405 5575921.845939642, 5871839.772826422 5575960.328772821, 5871821.589391832 5575981.015341343, 5871809.489677586 5575991.253950027, 5871710.239903563 5576091.940294902, 5871607.277203562 5575991.111494899, 5871506.228703563 5576095.778394901, 5871708.9902035585 5576298.6744949, 5871609.230203562 5576399.557494901, 5871404.585003562 5576196.6439948995, 5871304.194503561 5576298.150794901, 5871201.903903562 5576400.902194901, 5870996.010003561 5576197.986894902, 5870694.608603561 5576502.359594903, 5870666.665203561 5576529.287794898, 5870591.128400832 5576363.648964879, 5870322.740103562 5576492.242494901, 5870220.668928495 5576537.634909833, 5870206.411014881 5576544.314224748, 5870205.33775699 5576544.679677905, 5870197.564278068 5576548.0823288765, 5870194.803138767 5576549.525479887, 5870188.351410695 5576552.3094769, 5870182.905252614 5576555.192335289, 5870177.322327231 5576557.728598804, 5870169.031720671 5576561.918304959, 5870163.627982353 5576564.538068995, 5870062.295303561 5576613.761294904, 5869930.19850356 5576673.236494902, 5869800.603503561 5576734.628894902, 5869669.590172719 5576795.554068125, 5869625.201758075 5576815.491102473, 5869585.985108982 5576833.322996889, 5869549.01102132 5576850.135193816, 5869534.584592569 5576857.814679176, 5869535.382457595 5576862.935012126, 5869397.145561156 5576926.677707025, 5869150.79680356 5576396.049994901, 5869019.78080356 5576456.330194901, 5868887.27560356 5576517.294394899, 5868757.4292035615 5576577.034194902, 5868601.718903563 5576648.671794902, 5868546.58950356 5576528.2222949015, 5868499.112603562 5576424.495894903, 5868365.59880356 5576487.325894901, 5868238.21750356 5576547.268694902, 5868107.069903561 5576608.982694902, 5867972.2215035595 5576672.4366949005, 5867835.07680356 5576736.036494902, 5867704.8974035615 5576795.931594902, 5867575.131303563 5576856.6711949, 5867443.67710356 5576918.657194903, 5867505.827003561 5577048.5641949, 5867541.568103561 5577130.623694903, 5867604.935003563 5577264.758094903, 5867665.818503562 5577395.0798949, 5867537.842103562 5577461.625794903, 5867403.685003564 5577515.4959949, 5867464.551403562 5577647.080394902, 5867528.705403563 5577785.859294901, 5867593.798003563 5577923.139394902, 5867652.50000356 5578052.006394901, 5867785.702403562 5577993.177294899, 5867912.544003562 5577932.426194902, 5868096.166403561 5578327.860194901, 5868155.04660356 5578457.968394901, 5868287.446903561 5578398.221394903, 5868417.652203561 5578337.8198949015, 5868477.158003563 5578468.570894899, 5868538.402803562 5578602.764194903, 5868409.148703561 5578662.241894901, 5868347.253603561 5578530.2376949005, 5868287.446903561 5578398.221394903, 5868226.3771035625 5578266.5111949, 5868096.166403561 5578327.860194901, 5868013.735803562 5578148.239794903, 5868065.823103562 5577916.157594902, 5868017.27490356 5577813.3257949, 5867969.960803563 5577713.034594899, 5867922.676903561 5577609.374294902, 5867856.870103559 5577467.204694901, 5867795.174603561 5577333.9226949, 5867735.007403559 5577207.222194903, 5867864.87600356 5577145.399294902, 5867995.930603564 5577082.145894902, 5867935.87100356 5576952.671594901, 5867881.170403561 5576833.359894901, 5868017.667303563 5576770.732494901, 5868152.92710356 5576708.7178949015, 5868285.02530356 5576648.151694902, 5868413.147603561 5576589.407094902, 5868469.15770356 5576709.657794901, 5868529.42200356 5576839.046894903, 5868661.06750356 5576778.3446949, 5868818.101603562 5576705.9341949, 5868947.477903562 5576646.275694901, 5869079.745403561 5576585.282794901, 5869139.369203563 5576713.5076949, 5869199.853703561 5576843.588594901, 5869266.369618124 5576986.735200795, 5869397.043637079 5576926.639681928, 5869534.909677389 5576869.577063789, 5869539.005576044 5576867.50492417, 5869554.807845114 5576860.441460591, 5869591.257152448 5576843.807978282, 5869629.941364968 5576826.1546067465, 5869673.855040393 5576806.11479264, 5869803.016803562 5576746.028894899, 5869933.2297035605 5576685.9064949015, 5870066.773053878 5576622.965194266, 5870196.830303561 5576563.156494901, 5870329.880600001 5576502.8095, 5870447.779503562 5576447.868894903, 5870598.80038288 5576377.573027086, 5870667.71008288 5576529.121527084, 5870730.843903562 5576670.2171949, 5870794.389403563 5576605.0516949, 5870896.92140356 5576502.432994901, 5870999.198103561 5576400.950894901, 5871098.97990356 5576296.914694901, 5871201.22770356 5576198.588394902, 5871302.897703561 5576094.564494902, 5871403.28570356 5575993.055394902, 5871506.228703563 5576095.778394901, 5871607.306203562 5576195.957994901, 5871708.9902035585 5576298.6744949, 5871811.309603559 5576400.7670949, 5871913.6463035615 5576500.9654949, 5872014.071503563 5576603.677994901, 5872116.362603561 5576502.183194903, 5872016.57610356 5576398.211994903, 5871915.490203559 5576298.657394898, 5871811.932303561 5576194.024594902, 5871710.239903563 5576091.940294902, 5871812.509703561 5575991.707594901, 5871914.808003561 5575888.311394902, 5872013.935803561 5575787.413094902, 5872113.715703563 5575683.989194903, 5872217.232903561 5575585.022494901, 5872318.265287463 5575484.7261588955, 5872522.149603561 5575278.874394901, 5872724.850503563 5575072.659894901, 5872925.889655872 5574867.440637557, 5872823.92340356 5574766.234494901, 5872722.83130356 5574664.161494902, 5872919.163603565 5574464.826794905, 5872816.605391524 5574363.114442384, 5872608.323603561 5574157.924094901))",500,Amarillo
Recorridos_Colectivos_Tandil.2,"MULTILINESTRING ((5869532.1282613715 5581519.131036707, 5869670.122235765 5581379.408834181, 5869769.6899317205 5581279.501848804, 5869972.642379566 5581077.615364285, 5870071.632697012 5580978.4680602355, 5870173.989897011 5580873.4675602345, 5870279.683479962 5580773.602853884, 5870381.408379963 5580669.584453884, 5870483.203797011 5580566.858360236, 5870375.7959970115 5580465.778460236, 5870272.892997011 5580368.937960235, 5870173.401097013 5580268.807160237, 5870075.387697011 5580162.6253602365, 5870174.376197011 5580059.258260235, 5870279.217297011 5579957.056560237, 5870177.607597011 5579852.578060235, 5870279.935497011 5579749.248560235, 5870378.474797012 5579647.144760235, 5870481.395897011 5579547.608760237, 5870584.322997011 5579447.438260237, 5870683.5152970115 5579342.804660236, 5870787.1446970105 5579243.063160235, 5870886.2882970115 5579343.255360236, 5870991.714597011 5579444.773960236, 5871093.975597011 5579548.161760236, 5871193.145097012 5579446.683560235, 5871294.196897011 5579345.853060235, 5871191.3943520775 5579241.743856057, 5871093.088197011 5579140.029460236, 5870992.096197011 5579038.270960235, 5870887.723097011 5578935.819260236, 5870790.942385788 5578838.008905444, 5870695.624285786 5578732.170405445, 5870581.845997012 5578628.231360234, 5870530.611917772 5578578.70050194, 5870527.574397011 5578575.763960235, 5870517.7540233685 5578558.060676561, 5870506.376917281 5578539.01063846, 5870493.412308019 5578526.839780785, 5870475.1560215065 5578518.902264908, 5870455.711997012 5578519.459860235, 5870363.863697011 5578616.387160236, 5870262.280997013 5578719.083960236, 5870170.791497011 5578630.567660236, 5870048.116397011 5578504.355260235, 5869945.678597013 5578606.119760235, 5869846.009297012 5578707.587160236, 5869766.278597012 5578629.720660235, 5869665.273697011 5578527.214860235, 5869565.523697012 5578425.144760235, 5869464.926697013 5578323.911860237, 5869363.743797011 5578220.164860236, 5869335.291897012 5578233.311560237, 5869273.060097011 5578099.163060235, 5869212.720997012 5577969.099860237, 5869372.872897013 5577894.716360236, 5869503.135397011 5577834.213660236, 5869633.466897013 5577773.677860235, 5869764.494097012 5577712.817560236, 5869900.131397012 5577649.814760237, 5870039.089097011 5577587.495260236, 5870169.644197011 5577525.490660236, 5870297.980397011 5577465.360060236, 5870431.365097012 5577404.009960237, 5870564.788797011 5577346.187760236, 5870694.411697012 5577283.534560236, 5870632.0212970115 5577154.628460235, 5870573.452397012 5577020.702060236, 5870510.435297011 5576891.161960237, 5870450.581197012 5576759.756360235, 5870391.349097012 5576628.990560236, 5870327.9237419255 5576499.279983233, 5870195.976272593 5576555.736740238, 5870065.005948971 5576616.015677696, 5869927.375604571 5576676.190977098, 5869801.982874254 5576735.8146601785, 5869735.330897011 5576591.743160237, 5869675.258597011 5576461.4033602355, 5869541.677397013 5576523.392660235, 5869408.196797012 5576586.924160237, 5869270.722997013 5576650.625660234, 5869140.007797013 5576711.194160234, 5869008.036397012 5576772.343460236, 5868948.116497012 5576643.962160236, 5868887.914197012 5576514.980860236, 5868832.05449701 5576395.308060236, 5868782.489597011 5576289.124960236, 5868652.4412970105 5576350.326760236, 5868499.751197011 5576422.182360236, 5868440.275897011 5576292.246860236, 5868380.714397012 5576162.128460235, 5868245.394697011 5576225.592860235, 5868118.322497013 5576285.188060236, 5868057.020297013 5576154.349660237, 5867998.389697011 5576026.736460237, 5867935.766197011 5575890.601360236, 5867806.842397012 5575951.364060236, 5867674.139097012 5576012.722560237, 5867614.921697013 5575881.373260236, 5867553.809497012 5575750.640660236, 5867489.902197012 5575621.588360235, 5867354.672497013 5575684.822460235, 5867294.171197011 5575555.996660236, 5867233.696897013 5575424.013460235, 5867204.706097011 5575359.297660235, 5867073.915597012 5575419.414060235, 5867144.106697012 5575571.799460237, 5867193.619097012 5575681.470360235, 5867225.753297013 5575746.215760237, 5867354.672497013 5575684.822460235, 5867489.902197012 5575621.588360235, 5867624.117597015 5575560.431160236, 5867685.8567970125 5575691.8008602355, 5867745.089097012 5575821.886060235, 5867806.842397012 5575951.364060236, 5867868.688997013 5576086.770460234, 5867927.512297011 5576214.710960235, 5868057.020297013 5576154.349660237, 5868184.522097012 5576094.922260235, 5868320.859897011 5576031.375160236, 5868469.643297013 5575962.025560237, 5868530.725697011 5576091.772160236, 5868591.695697011 5576221.285260235, 5868652.4412970105 5576350.326760236, 5868701.742397012 5576455.060460235, 5868758.067797011 5576574.720660236, 5868818.740197011 5576703.620660237, 5868879.186397012 5576832.045260235, 5868941.261897012 5576963.936560236, 5869068.830597011 5576902.603260236, 5869200.492297011 5576841.2750602355, 5869331.015797012 5576780.475760235, 5869467.895697012 5576716.714360235, 5869605.9357970115 5576654.611960235, 5869670.598201963 5576798.438315918, 5869929.421195888 5576678.728232034, 5870066.12348198 5576618.479321784, 5870196.770024181 5576559.414455926, 5870261.669297012 5576691.281960235, 5870320.916897012 5576820.149960237, 5870380.211997011 5576951.285560235, 5870443.198097013 5577083.984660235, 5870503.052997012 5577214.760460235, 5870371.490397012 5577275.762160237, 5870240.642697011 5577335.240860236, 5870108.537797012 5577394.706060237, 5869978.934597012 5577456.088760236, 5869840.476497012 5577521.1873602355, 5869900.131397012 5577649.814760237, 5869961.356097012 5577781.832460235, 5869825.673097012 5577844.390160236, 5869694.387797012 5577904.918960235, 5869756.479497012 5578038.687860236, 5869639.970097011 5578092.526160236, 5869501.865897012 5578156.342060237, 5869565.317097013 5578222.872960235, 5869667.602797011 5578323.278760235, 5869766.508197011 5578426.183760236, 5869868.362497013 5578527.8545602355, 5869945.678597013 5578606.119760235, 5869969.162997012 5578630.0447602365, 5870070.343797012 5578733.177760236, 5870170.791497011 5578630.567660236, 5870275.8425970115 5578528.066060237, 5870373.857997013 5578432.318060235, 5870455.711997012 5578519.459860235, 5870460.339325206 5578543.773147985, 5870475.685189231 5578564.939856986, 5870505.583165693 5578579.491969422, 5870523.344010767 5578579.094714713, 5870575.4982970115 5578633.861260237, 5870681.196097012 5578740.427060235, 5870781.603197011 5578840.623760236, 5870878.437846282 5578944.208095261, 5871087.268746282 5579145.543695264, 5871191.3074970115 5579241.827360235, 5871091.487097011 5579345.8304602355, 5870991.714597011 5579444.773960236, 5870886.2882970115 5579343.255360236, 5870787.1446970105 5579243.063160235, 5870683.5152970115 5579342.804660236, 5870584.322997011 5579447.438260237, 5870481.395897011 5579547.608760237, 5870378.474797012 5579647.144760235, 5870279.935497011 5579749.248560235, 5870177.607597011 5579852.578060235, 5870279.217297011 5579957.056560237, 5870174.376197011 5580059.258260235, 5870075.387697011 5580162.6253602365, 5870173.401097013 5580268.807160237, 5870272.892997011 5580368.937960235, 5870375.7959970115 5580465.778460236, 5870483.203797011 5580566.858360236, 5870384.130297012 5580666.461360235, 5870277.381697012 5580769.949660236, 5870174.774581953 5580875.920854356, 5870071.632697012 5580978.4680602355, 5869972.642379566 5581077.615364285, 5869869.309397011 5581181.114760235, 5869769.717997011 5581280.861560235, 5869668.573497011 5581381.695360236, 5869538.716331281 5581512.594644606))",501,Rojo
